NAME,GENDER,NACIONALITY,ROLE,ACRONYM,OFICIAL_NAME,START_DATE,END_DATE,TOPICS,STATION,INSTITUTIONS_LEAD,INST_LEAD_COUNTRY,FUNDING_SOURCES,Finished,lon,lat
"Paula, Iturralde-Polit",F,EC,Principal Investigator,Insectivorous Bats,The effect of climate change on insectivorous bats of montane forests in Costa Rica,03/10/2019,03/10/2020,"climate change, insectivorous bats, pre-montane and montane forests, thermal tolerance, echolocation, sound attenuation, vulnerability. ",Las Cruces,Universidad de Costa Rica,CR,OTS - OET,Finished,-84.0510284,9.9369824
"Ryan, Hill",M,US,Co-PI,Adelpha project,Connecting the proximate mechanisms responsible for organismal diversity to the ultimate causes of latitudinal gradients in species richness,02/15/2019,09/30/2019,"Adelpha, Biotic Interactions, Predation, Competition, Mimicry, Speciation.",Las Cruces,Boston University,US,NSF,Finished,-71.1053991,42.3504997
"Sean, Mullen",M,US,Principal Investigator,Adelpha project,Connecting the proximate mechanisms responsible for organismal diversity to the ultimate causes of latitudinal gradients in species richness,02/15/2019,09/30/2019,"Adelpha, Biotic Interactions, Predation, Competition, Mimicry, Speciation.",Las Cruces,Boston University,US,NSF,Finished,-71.1053991,42.3504997
"Daniel, Robert",M,GB,Principal Investigator,ElectroBee,Mechanisms of electroreception in bees and other terrestrial animals,09/17/2018,09/17/2022,"Electroreception, Insects, Treehoppers, Sensory Ecology",La Selva,University of Bristol,GB,European Research Council,Approved,-2.6029792,51.4584172
"Samuel Jake, England",M,IO,Student,ElectroBee,Mechanisms of electroreception in bees and other terrestrial animals,09/17/2018,09/17/2022,"Electroreception, Insects, Treehoppers, Sensory Ecology",La Selva,University of Bristol,GB,European Research Council,Approved,-2.6029792,51.4584172
"Alex, Murray",M,US,Student,Lizard Competition,Resource and interference competition among lizards in a neotropical countryside ,07/01/2019,08/31/2022,"Countryside biogegraphy, Competition, Lizard, Anolis",Las Cruces,University of Texas at Arlington,US,Startup account,In Review,-97.1120914,32.7291229
"Luke, Frishkoff",M,US,Principal Investigator,Lizard Competition,Resource and interference competition among lizards in a neotropical countryside ,07/01/2019,08/31/2022,"Countryside biogegraphy, Competition, Lizard, Anolis",Las Cruces,University of Texas at Arlington,US,Startup account,In Review,-97.1120914,32.7291229
"Liz, Alter",F,US,Principal Investigator,eDNA,A test of environmental DNA methodologies as a non-invasive means of sampling biodiversity in La Selva,03/14/2019,12/30/2019,"Aquatic biodiversity, fishes, environmental DNA",La Selva,City University of New York (CUNY) System,US,PSC-CUNY,Finished,-73.9772112,40.7383471
"Christopher, Searcy",M,US,Advisor,Fragmentation and matrix effects on herps,Assessing synergism between matrix permeability and corridor use in fragmented landscapes,06/01/2018,08/15/2020,,Las Cruces,University of Miami,US,,Postponed,-80.2746368,25.7178924
"Nicolas, Medina",M,CO,Principal Investigator,Ficus,Fig-stranglers hybridize—testing the significance of hybridization in New World Ficus,11/01/2018,05/01/2019,"fig-stranglers, evolution, systematics, hybridization",Las Cruces,Rancho Santa Ana Botanic Garden,US,American Philosophical Society,Finished,-117.7151022,34.1105943
"Carlos, Garcia-Robledo",M,US,Advisor,Thermal limits Zingiberales,Phylogenetic constraints or environmental filtering? thermal tolerance of tropical plants along an elevational gradient and its implication for global warming,05/11/2019,10/31/2019,"Global warming, temperature, chlorophyll fluorescence, heat tolerance, Phylogenetic signal, thermal limits, thermal tolerance, ",La Selva,University of Connecticut,US,OTS - OET,Finished,-72.2539805,41.8077414
